Model,Accuracy,Precision,Recall,F1-Score
Random Forest,0.9982094897045658,0.9974105461393596,0.9988213107024988,0.9981154299175501
SVM (LinearSVC),0.996307072515667,0.9959934008955927,0.9962281942479962,0.9961107837360047
Logistic Regression,0.9913831692032229,0.9871345029239766,0.9948137670909948,0.9909592579546789
Naive Bayes,0.9500895255147717,0.9434579439252336,0.9519094766619519,0.9476648674020183
